page	display_pg	col	y_top	height	y_bot	el_idx	kind	frag	n_lines	text	rendered_text
5	1	0	456.46	124.23	332.24	0	sefer_title	full	1	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'
5	1	0	281.21	44.0	237.21	1	anaf	full	1	ענף א' קליפת עמלק בחטא עץ הדעת	ענף א' קליפת עמלק בחטא עץ הדעת
5	1	1	211.69	40.06	171.63	2	subhead	whole	1	עמלק גרם חטא הראשון של עץ הדעת	עמלק גרם חטא הראשון של עץ הדעת
5	1	1	164.82	136.08	28.74	3	dc1	head	8	הנה	הנה עמלק הוא בחי' ראשית הקיקול והקליפה כמו שנאמר ״ראשית גוים עמלק״, ובוודאי הוא בחי' הנחש שגרם חטא הראשון של חטא עץ הדעת שהוא שורש כל החטאים שבא מכח הקילקול של חטא עץ הדעת, וכן מרומז בהא שדרשו חז״ל
5	1	2	211.69	68.04	143.65	3	body	tail	4	שהמקור להמן שהי' נכדו והמשך	שהמקור להמן שהי' נכדו והמשך של עמלק מרומז החטא עץ הדעת שנא' ״המן״ העץ, ומבואר שעמלק הוא שגרם חטא עץ הדעת.
5	1	2	126.64	40.06	86.58	4	subhead	whole	1	ביאור קללת קוץ ודרדר תצמיח לך	ביאור קללת קוץ ודרדר תצמיח לך
5	1	2	79.77	51.03	28.74	5	dc1	whole	3	וא'	וא' מהקללות שנגרם על ידי חטא עץ הדעת הוא מה שנא' ״קוץ ודרדר תצמיח לך״, וביארו בספה״ק
6	2	1	516.0	289.17	226.83	5	body	whole	17	עומק קללה זו דיש ד' רבתי	עומק קללה זו דיש ד' רבתי בתיבת אחד בהפס' של שמע ישרא' ה' אלקינו ה' אחד וזה לעומת זה יש ר' רבתי בתיבת אחר של הפס' לא תשתחוה לאל אחר, כדי שתהא ברור ולא תהא מקום לטעות בין ה' אחד לאל אחר. ועל ידי חטא עץ הדעת הי' קילקול ונתערב טוב ברע וע״י זה יש מקום לטעות בין הד' של ה' אחד לר' של אל אחר, והוא בחי' הקללה של קוץ ודרדר תצמיח לך כי החילוק של ד' ור' בין בצורת האות ובין בהגימטריא הוא קו״ץ (ר - קו״ץ = ד׳, 200 - 196 = 4), וזהו מרומז בקוץ ודרדר תצמיח לך שהתערב ונפגם הד' עם הר' ע״י נטילת הקוץ.
6	2	1	213.82	40.06	173.76	6	subhead	whole	1	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות
6	2	1	166.95	102.06	64.89	7	dc1	head	6	ויש	ויש להוסיף עוד ביאור כי השי״ת הוא בחי' ישר כמו שנא' להגיד כי ישר ה', וכן כתי' טוב וישר ה', 'וכן התורה הק' נקרא ישר כמו שנא' פיקודי ה' ישרים, משא״כ הרע והקליפה הוא להיפוך עקום
6	2	2	516.0	238.14	277.86	7	body	tail	14	ועקלתון, והפגם של דרדר הוא	ועקלתון, והפגם של דרדר הוא שנפגם ד' הישר של ה' אחד לר' עקומה של אל אחר, וי״ל שהתיקון של הר' שנתהוה ע״י חטא עץ הדעת הוא לסדר האותיות. להפך מהמילוי של אות ריש לישר כי החילוק בין צורת אות ר' לצורת אות ד' שהאות ריש הוא שורות עקומות משא״כ האות ד' הוא שורות ישרות כי הד' שמרמז על השי״ת הוא בחי' ישר משא״כ הר' שמרומז על הרע הוא עקומה וע״י שנעשה מריש ישר נעשה תיקון של ד' שהוא שורות ישרות.
6	2	2	265.61	23.81	241.8	8	subhead	whole	1	מלחמת עמלק על ישראל	מלחמת עמלק על ישראל
6	2	2	234.99	170.1	64.89	9	dc1	whole	10	ולכן	ולכן ישרא' שהם מאמינים בה' אחד נקראים גוי אחד הבחי' של הד' רבתי של ה' אחד, וכמו דאמרינן בתפילה ואל יאבד גוי אחד, המיחדים שמך ה' אלקנו ה' אחד, ונקראים ישרים, ישראל מל' ישר-אל, וכמו שנא' תומת ישרים תנחם וכלל״י הם הבחי' של והאלקים עשה את האדם ישר משא״כ עמלק הוא בחי' ר' רבתי
7	3	1	516.0	85.05	430.95	9	body	whole	5	של אל אחר המתנגד לה' אחד	של אל אחר המתנגד לה' אחד ולכן עמל״ק בגי' א״ל אח״ר וכן ״עמלק״ הוא אותיות ״מעקל״ שהוא בחי' נחש עקלתון, ולכן עמלק מתנגד נגד ישרא' לבטל בחי' ה' אחד.
7	3	1	418.7	23.81	394.89	10	subhead	whole	1	ביאור קללת על גחונך תלך	ביאור קללת על גחונך תלך
7	3	1	388.08	102.06	286.02	11	dc1	whole	6	ולפי	ולפי זה יבואר היטב מה שנענש הנחש שהוא בחי' עמלק שיהיו "על גחונך תלך״ שהרי עי״ז כל גופו נעשה עקומה לבחי' של נחש עקלתון צורה של ר' שאינה שורות ישרות.
7	3	1	273.78	23.81	249.96	12	subhead	whole	1	עמלק בחי' הזבוב שעושה מד' ר'	עמלק בחי' הזבוב שעושה מד' ר'
7	3	1	243.16	187.11	56.05	13	dc1	head	11	ומקור	ומקור לדבר זה שעמלק הוא בחי' חטא עץ הדעת שפגם באות ד' לעשותו ר', מבואר בספר עטרת ישועה (פ' - בשלח), הנה הגמ' סוטה כ' אמר רב יהודה אמר שמוא' משום ר' מאיר כשהייתי למד תורה אצל ר' עקיבא הייתי מטיל קנקנתום לתוך הדיו, ומבאר הגמ' שהיתה מיחש לזבוב דילמא יתיב אתגי' (הקוץ) של דלי״ת ומחוק לי' ומשוי לי' רי״ש ולכן הטיל קנקנתום
7	3	2	516.0	187.11	328.89	13	body	tail	11	שלא יוכל להימחק, ופי' רש״י כגון	שלא יוכל להימחק, ופי' רש״י כגון ד' דאחד דהיינו שיעשה מאחד אחר, ומבאר העטרת ישועה שהזבוב מרמז על עמלק כמבואר בבעל הטורים פ' בשלח שזבו״ב ר״ת ו'שים ז'את ז'כרון ב'ספר ועמלק הוא בחי' הזבוב שרוצה למחוק הקוץ של הד' לעשותו ר' בבחי' קוץ ודרדר, ומבואר שעמלק הוא הפוגם בקוץ ודרדר תצמיח לך בחטא עץ הדעת.
7	3	2	315.24	40.06	275.18	14	subhead	whole	1	ספר תורה של ר״מ במדריגה קודם חטא עץ הדעת	ספר תורה של ר״מ במדריגה קודם חטא עץ הדעת
7	3	2	268.37	136.08	132.29	15	dc1	whole	8	וע״ש	וע״ש בעטרת ישועה שהוסיף עוד, דהי' ספר תורה של ר' מאיר, ור' מאיר הי' תלמוד של אחר, ואחר הוא בחי' ר' רבתי של אל אחר, אבל כחו של ר' מאיר הי' שתוכו אכל וקליפתו זרק ותיקון שתורתו יהי' במדריגת ד' רבתי ולעשות מר' ד' כנ״ל עכת״ד ע״ש.
7	3	2	124.09	68.04	56.05	16	dc1	whole	4	ויש	ויש להוסיף דבאמת מצינו עוד דבר מיוחד בתורתו של ר' מאיר שהי' כתי' שם כתנות אור עם א'. תחת ע' של עור וביארו
8	4	1	514.3	136.08	378.22	16	body	whole	8	בספה״ק שהי' במדריגה של	בספה״ק שהי' במדריגה של תיקון קודם חטא עץ הדעת שלא היצטרכו כתנות עור עם ע' וממש נפלא שדוקא בתורתו הקפיד ג״כ שיהי' תיקון לאות ד' שח״ו לא ימחה להיות ר' בדרגת התיקון על הקוץ ודרדר תצמיח לך.
8	4	1	345.9	34.02	311.88	17	dc1	head	2	ונמצא	ונמצא שספר תורה שלו הי' מיוחד באות א' של אור
8	4	2	516.0	204.12	311.88	17	body	tail	12	וגם מיוחד בד' שלא יהי' ר'	וגם מיוחד בד' שלא יהי' ר' והוא אותיות אדר ונגד ערד מלך עמלק שהוא בחי' ע' והר' קודם הד' וחודש אדר קיבלו התורה מאהבה בפורים, והי' במדריגה של תורה הק' כתיקונם והוא בחי' מחיית עמלק של אדר ופורים ולכן כתי' ליהודים היתה אורה ודרשו חז״ל אורה זו תורה שהיתה תורה בבחי' אור וכמו שנבאר לקמן ב״ה.
9	5	0	498.99	44.0	454.99	18	anaf	full	1	ענף ב' מלחמת עמלק בקריעת ים סוף לבטל קבלת התורה	ענף ב' מלחמת עמלק בקריעת ים סוף לבטל קבלת התורה
9	5	1	429.48	23.81	405.66	19	subhead	whole	1	האבות במדריגה ישרים	האבות במדריגה ישרים
9	5	1	398.86	323.19	75.67	20	dc1	whole	19	והנה	והנה עמלק גרם לעוות היושר והאמונה בה' אחד וגרם קלקול בכל העולם בבחי' קוץ ודרדר תצמיח לך וכמו שביארנו לעיל, אבל האבות הם היו בבחי' תיקון העולם, וגילוי אמונת ה' בעולם ורק התולדות של האבות בני יעקב אבינו הוצטרכו לילך ולהזדכך בכור הברזל של גלות מצרים ולתקן חטא אדם הראשון עד שיזכו לתעבדון את האלקים על ההר הזה בבחי' פסקה זוהמתן של הנחש בחטא עץ הדעת, ולכן ספר בראשי״ת שהוא בחי' ספר האבות הוא האותיות יש״ר אב״ת שהאבות היו בבחי' ישרים (וספר בראשית נקרא ספר הישר) שהאבות גילוי בחי' ה' אחד בחי' ישר מריש כמבואר לעיל.
9	5	2	429.48	40.06	389.41	21	subhead	whole	1	מעלת יציאת מצרים וקריעת ים סוף לגלות ד' רבתי של ה' אחד	מעלת יציאת מצרים וקריעת ים סוף לגלות ד' רבתי של ה' אחד
9	5	2	382.61	255.15	127.46	22	dc1	whole	15	אבל	אבל זה הי' רק מדריגת האבות אבל כלל ישרא' הלכו במצרים להזדכך עד שיגיעו למתן תורה ולכן בהתחלת גלות מצרים כתי' ויקצו מפני בני ישרא' דהיינו שהמצרים רצו להפסיד בחי' תיקון הקוץ של ה' אחד הקוץ ודרדר תמציח לך ולאחר כל השיעבוד והעשר מכות ויציאת מצרים כתי' ובני ישרא' יוצאים ביד רמה ופי' התרגום בריש גלי וי״ל הפי' שנתגלה האפסיות והשקר של הריש האות ר' רבתי של אל אחר ונשתנה לישר ושורות ישרות של ד' לגילוי ה' אחד.
9	5	2	124.46	51.03	73.43	23	dc1	whole	3	וביותר	וביותר נתגלה דבר זה בשעת קריעת ים סוף שהרי אז כבר נאמר ויאמינו בה' ובמשה
10	6	1	516.0	102.06	413.94	23	body	whole	6	עבדו, שזכו להאמין ולגלות הד'	עבדו, שזכו להאמין ולגלות הד' רבתי של ה' אחד ולכן הסוף של שירת הים שהוא בחי' התכלית הוא אות ד' של ה' ימלוך לעולם ועד שנתגלה בחי' ד' רבתי של ה' אחד ונתגלה מלכות ה' בכל העולם.
10	6	1	407.14	255.15	151.99	24	dc1	whole	15	וכן	וכן יש נוהגין בתפילת שחרית לאחר שירת הים לומר ובתורתך כתוב לאמר שמע ישרא' ה' אלקנו ה' אחד כי בשעת קריעת ים סוף נתגלה הד' רבתי כנ״ל, וגם אומרים הפס' של והיה ה' למלך וגו', ה' אחד ושמו אחד ועוד י״ל שלכן מתחיל השירה באז ישיר, ישי״ר הוא בחי' ישר שנעשה מריש יש״ר שיהי' שורות שוות כמו ד' וכן א״ז בגי' ב' פעמים ״ד' בחי' דרדר, וביותר מרומז בהא די״ם סו״ף בגי' קו״ץ, וקריעת ים סוף היינו שנקרע מספר י״ם סו״ף קו״ץ מר' שהוא מספר ד' שנתגלה הד' של ה' אחד.
10	6	1	139.74	40.06	99.67	25	subhead	whole	1	עמלק בא לבטל גילוי ה' אחד של קריעת ים סוף	עמלק בא לבטל גילוי ה' אחד של קריעת ים סוף
10	6	1	92.87	34.02	58.85	26	dc1	head	2	ולפי	ולפי המבואר לעיל מובן למה דוקא כאן בא עמלק להילחם
10	6	2	516.0	102.06	413.94	26	body	tail	6	עם ישרא' כי עמל״ק שהוא בגי'	עם ישרא' כי עמל״ק שהוא בגי' א״ל אח״ר בחי' ר' רבתי אינו יכול לסבול הגילוי של הישרות של ה' אחד שנתגלה בקריעת י״ם סו״ף שהוא בחי' הקו״ץ של הד' כמו שנתבאר לעיל.
10	6	2	403.73	68.04	335.69	27	dc1	whole	4	ובזה	ובזה ימתק מה שנא' בעמלק מלחמה לה' בעמלק מדרד״ר שהם אותיות דרדר לתקן מה שהחליש וקרר הגילוי של ה' אחד.
