page	display_pg	col	y_top	height	y_bot	el_idx	kind	frag	n_lines	text	rendered_text
5	1	0	498.99	87.56	411.43	0	sefer_title	full	1	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'
5	1	0	360.4	44.0	316.4	1	anaf	full	1	ענף א' קליפת עמלק בחטא עץ הדעת	ענף א' קליפת עמלק בחטא עץ הדעת
5	1	1	290.89	40.06	250.82	2	subhead	whole	1	עמלק גרם חטא הראשון של עץ הדעת	עמלק גרם חטא הראשון של עץ הדעת
5	1	1	244.02	204.12	39.9	3	dc1	head	12	הנה	הנה עמלק הוא בחי' ראשית הקיקול והקליפה כמו שנאמר ״ראשית גוים עמלק״, ובוודאי הוא בחי' הנחש שגרם חטא הראשון של חטא עץ הדעת שהוא שורש כל החטאים שבא מכח הקילקול של חטא עץ הדעת, וכן מרומז בהא שדרשו חז״ל שהמקור להמן שהי' נכדו והמשך של עמלק מרומז החטא עץ הדעת שנא' ״המן״
5	1	2	290.89	34.02	256.87	3	body	tail	2	העץ, ומבואר שעמלק הוא	העץ, ומבואר שעמלק הוא שגרם חטא עץ הדעת.
5	1	2	239.86	40.06	199.79	4	subhead	whole	1	ביאור קללת קוץ ודרדר תצמיח לך	ביאור קללת קוץ ודרדר תצמיח לך
5	1	2	192.99	153.09	39.9	5	dc1	whole	9	וא'	וא' מהקללות שנגרם על ידי חטא עץ הדעת הוא מה שנא' ״קוץ ודרדר תצמיח לך״, וביארו בספה״ק עומק קללה זו דיש ד' רבתי בתיבת אחד בהפס' של שמע ישרא' ה' אלקינו ה' אחד וזה לעומת זה יש ר' רבתי בתיבת אחר של הפס' לא תשתחוה לאל
6	2	1	516.0	255.15	260.85	5	body	whole	15	אחר, כדי שתהא ברור ולא	אחר, כדי שתהא ברור ולא תהא מקום לטעות בין ה' אחד לאל אחר. ועל ידי חטא עץ הדעת הי' קילקול ונתערב טוב ברע וע״י זה יש מקום לטעות בין הד' של ה' אחד לר' של אל אחר, והוא בחי' הקללה של קוץ ודרדר תצמיח לך כי החילוק של ד' ור' בין בצורת האות ובין בהגימטריא הוא קו״ץ (ר - קו״ץ = ד׳, 200 - 196 = 4), וזהו מרומז בקוץ ודרדר תצמיח לך שהתערב ונפגם הד' עם הר' ע״י נטילת הקוץ.
6	2	1	247.84	40.06	207.78	6	subhead	whole	1	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות
6	2	1	200.97	153.09	47.88	7	dc1	head	9	ויש	ויש להוסיף עוד ביאור כי השי״ת הוא בחי' ישר כמו שנא' להגיד כי ישר ה', וכן כתי' טוב וישר ה', 'וכן התורה הק' נקרא ישר כמו שנא' פיקודי ה' ישרים, משא״כ הרע והקליפה הוא להיפוך עקום ועקלתון, והפגם של דרדר הוא שנפגם
