page	display_pg	col	y_top	height	y_bot	el_idx	kind	frag	n_lines	text	rendered_text
5	1	0	456.46	95.92	360.54	0	sefer_title	full	1	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'	מחיית עמלק - תיקון ל'וקוץ ודרדר תצמיח לך'
5	1	0	309.51	44.0	265.51	1	anaf	full	1	ענף א' קליפת עמלק בחטא עץ הדעת	ענף א' קליפת עמלק בחטא עץ הדעת
5	1	1	240.0	40.06	199.94	2	subhead	whole	1	עמלק גרם חטא הראשון של עץ הדעת	עמלק גרם חטא הראשון של עץ הדעת
5	1	1	193.13	102.06	91.07	3	dc1	head	6	הנה	הנה עמלק הוא בחי' ראשית הקיקול והקליפה כמו שנאמר ״ראשית גוים עמלק״, ובוודאי הוא בחי' הנחש שגרם חטא הראשון של חטא עץ הדעת שהוא
5	1	2	240.0	153.09	86.91	3	body	tail	9	שורש כל החטאים שבא	שורש כל החטאים שבא מכח הקילקול של חטא עץ הדעת, וכן מרומז בהא שדרשו חז״ל שהמקור להמן שהי' נכדו והמשך של עמלק מרומז החטא עץ הדעת שנא' ״המן״ העץ, ומבואר שעמלק הוא שגרם חטא עץ הדעת.
6	2	1	516.0	40.06	475.94	4	subhead	whole	1	ביאור קללת קוץ ודרדר תצמיח לך	ביאור קללת קוץ ודרדר תצמיח לך
6	2	1	469.13	408.24	60.89	5	dc1	whole	24	וא'	וא' מהקללות שנגרם על ידי חטא עץ הדעת הוא מה שנא' ״קוץ ודרדר תצמיח לך״, וביארו בספה״ק עומק קללה זו דיש ד' רבתי בתיבת אחד בהפס' של שמע ישרא' ה' אלקינו ה' אחד וזה לעומת זה יש ר' רבתי בתיבת אחר של הפס' לא תשתחוה לאל אחר, כדי שתהא ברור ולא תהא מקום לטעות בין ה' אחד לאל אחר. ועל ידי חטא עץ הדעת הי' קילקול ונתערב טוב ברע וע״י זה יש מקום לטעות בין הד' של ה' אחד לר' של אל אחר, והוא בחי' הקללה של קוץ ודרדר תצמיח לך כי החילוק של ד' ור' בין בצורת האות ובין בהגימטריא הוא קו״ץ (ר - קו״ץ = ד׳, 200 - 196 = 4), וזהו מרומז בקוץ ודרדר תצמיח לך שהתערב ונפגם הד' עם הר' ע״י נטילת הקוץ.
6	2	2	516.0	40.06	475.94	6	subhead	whole	1	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות	תוספות ביאור החילוק בין ד' לר' שורות ישרות או עקומות
6	2	2	452.12	391.23	60.89	7	dc1	whole	23	ויש	ויש להוסיף עוד ביאור כי השי״ת הוא בחי' ישר כמו שנא' להגיד כי ישר ה', וכן כתי' טוב וישר ה', 'וכן התורה הק' נקרא ישר כמו שנא' פיקודי ה' ישרים, משא״כ הרע והקליפה הוא להיפוך עקום ועקלתון, והפגם של דרדר הוא שנפגם ד' הישר של ה' אחד לר' עקומה של אל אחר, וי״ל שהתיקון של הר' שנתהוה ע״י חטא עץ הדעת הוא לסדר האותיות. להפך מהמילוי של אות ריש לישר כי החילוק בין צורת אות ר' לצורת אות ד' שהאות ריש הוא שורות עקומות משא״כ האות ד' הוא שורות ישרות כי הד' שמרמז על השי״ת הוא בחי' ישר משא״כ הר' שמרומז על הרע הוא עקומה וע״י שנעשה מריש ישר
7	3	1	516.0	34.02	481.98	7	body	whole	2	נעשה תיקון של ד' שהוא	נעשה תיקון של ד' שהוא שורות ישרות.
